1	2	5      18.5 40
2	1 3	5 2.5     18.5 35
3	2 4 5	2.5 3 3    18.5 32.5
4	3 5 6 27	3 2 3 5    17.5 30
5	3 4 6 28	3 2 3 5    19.5 30
6	4 5 7	3 3 2.5    18.5 27.5
7	6 8 34 35	2.5 5 2 2   18.5 25
8	7 9 36 39	5 5 2 2     18.5 20
9	8 10 37 38	5 2.5 2 2      18.5 15
10	9 11 12	2.5 3 3    18.5 12.5
11	10 12 13 32	3 2 3 5    17.5 10
12	10 11 13 31	3 2 3 5    19.5 10
13	11 12 14	3 3 2.5    18.5 7.5
14	13 15	2.5 5    18.5 5
15	14	5     18.5 0
16	17	5     37 20
17	16 18	5 2.5    32 20
18	17 19 20 	2.5 3 3    29.5 20
19	18 20 30	3 2 6.5    27 19
20	18 19 29	3 2 6.5    27 21
21	22	5     0 20
22	21 23	5 2.5    5 20  
23	22 24 25	2.5 3 3     7.5 20
24	23 25 33	3 2 6.5     10 19
25	23 24 26	3 2 6.5     10 21
26	25 27	6.5 4     10 27.5
27	26 4	4 5      12.5 30
28	5 29	5 4      24.5 30
29	28 20	4 6.5    27 27.5
30	19 31	6.5 4    27 12.5
31	30 12	4 5      24.5 10
32	11 33	5 4      12.5 10
33	32 24	4 6.5    10 12.5
34	7 39	2 5      16.5 25
35	7 36 	2 5      20.5 25
36	35 37 8	5 5 2    20.5 20
37	36 9	5 2      20.5 15
38	9 39	2 5      16.5 15
39	34 38 8	5 5 2    16.5 20
